PRINCIPAL;dyrektor;dyrektor123;Adam;Wiśniewski
TEACHER;anowak;nauczyciel123;Anna;Nowak
TEACHER;pnowicki;nauczyciel123;Piotr;Nowicki
TEACHER;mwojcik;nauczyciel123;Magdalena;Wójcik
TEACHER;kkowalczyk;nauczyciel123;Krzysztof;Kowalczyk
TEACHER;jlis;nauczyciel123;Joanna;Lis
TEACHER;zjaworski;nauczyciel123;Zbigniew;Jaworski
TEACHER;bgrabowska;nauczyciel123;Beata;Grabowska
STUDENT;jkowalski;uczen123;Jan;Kowalski
STUDENT;kkrol;uczen123;Katarzyna;Król
STUDENT;pwazny;uczen123;Paweł;Ważny
STUDENT;mdabrowska;uczen123;Maria;Dąbrowska
STUDENT;kzaremba;uczen123;Kamil;Zaremba
STUDENT;ajaskula;uczen123;Alicja;Jaskuła
STUDENT;mmichalski;uczen123;Marek;Michalski
STUDENT;bostrowska;uczen123;Beata;Ostrowska
STUDENT;gsikorski;uczen123;Grzegorz;Sikorski
STUDENT;dborkowska;uczen123;Danuta;Borkowska
STUDENT;wwrobel;uczen123;Wiktor;Wróbel
STUDENT;jmarciniak;uczen123;Justyna;Marciniak
STUDENT;rpiotrowski;uczen123;Robert;Piotrowski
STUDENT;wwitkowska;uczen123;Weronika;Witkowska
STUDENT;msokolowski;uczen123;Maciej;Sokołowski
STUDENT;zjaworska;uczen123;Zofia;Jaworska
STUDENT;dszostak;uczen123;Dariusz;Szostak
STUDENT;kkaczmarczyk;uczen123;Kinga;Kaczmarczyk
STUDENT;mbaranowski;uczen123;Miłosz;Baranowski
STUDENT;npiatek;uczen123;Natalia;Piątek
STUDENT;abaran;uczen123;Artur;Baran
STUDENT;kpietrzak;uczen123;Karolina;Pietrzak
STUDENT;pstepien;uczen123;Patryk;Stępień
STUDENT;jmakowska;uczen123;Julia;Makowska
STUDENT;swisniewski;uczen123;Szymon;Wiśniewski
STUDENT;pnowakowska;uczen123;Paulina;Nowakowska
STUDENT;tsocha;uczen123;Tadeusz;Socha
STUDENT;mbednarek;uczen123;Magdalena;Bednarek
STUDENT;mgora;uczen123;Monika;Góra
STUDENT;tdabrowski;uczen123;Tomasz;Dąbrowski
STUDENT;awolinska;uczen123;Agata;Wolińska
STUDENT;kpawlak;uczen123;Krystian;Pawlak
STUDENT;jbrzezinska;uczen123;Jadwiga;Brzezińska
STUDENT;pkozlowski;uczen123;Piotr;Kozłowski
STUDENT;mszewczyk;uczen123;Marta;Szewczyk
STUDENT;rlewandowski;uczen123;Ryszard;Lewandowski
STUDENT;dkrawczyk;uczen123;Dorota;Krawczyk
STUDENT;fnowicki;uczen123;Filip;Nowicki
STUDENT;gsawicka;uczen123;Gabriela;Sawicka
STUDENT;mjablonski;uczen123;Jakub;Jabłoński
STUDENT;zwozniak;uczen123;Zuzanna;Woźniak
STUDENT;kzieba;uczen123;Krzysztof;Zięba
STUDENT;jkozak;uczen123;Jowita;Kozak
STUDENT;murbanski;uczen123;Mateusz;Urbański
STUDENT;wwalczak;uczen123;Wiktoria;Walczak
STUDENT;dwojcik;uczen123;Damian;Wójcik
STUDENT;kbaran;uczen123;Klaudia;Baran
STUDENT;lsikora;uczen123;Łukasz;Sikora
STUDENT;oczarnecka;uczen123;Oliwia;Czarnecka
STUDENT;jprzybylski;uczen123;Janusz;Przybylski
STUDENT;mkalinowska;uczen123;Martyna;Kalinowska
STUDENT;dchmielewski;uczen123;Dawid;Chmielewski
STUDENT;awroblewska;uczen123;Aneta;Wróblewska
STUDENT;ksawicki;uczen123;Sebastian;Sawicki
STUDENT;bzieba2;uczen123;Barbara;Zięba
STUDENT;mnowotny;uczen123;Marek;Nowotny
STUDENT;ajablonska;uczen123;Alicja;Jabłońska
STUDENT;tczerwinski;uczen123;Cezary;Czerwiński
STUDENT;mmazurek;uczen123;Milena;Mazurek
STUDENT;sszymczak;uczen123;Stefan;Szymczak
STUDENT;bmazur;uczen123;Blanka;Mazur
STUDENT;kwasilewski;uczen123;Konrad;Wasilewski
STUDENT;rsokolowska;uczen123;Renata;Sokołowska
STUDENT;mszczepanski;uczen123;Mariusz;Szczepański
STUDENT;kbednarczyk;uczen123;Kamila;Bednarczyk
STUDENT;jlesiak;uczen123;Jacek;Lesiak
STUDENT;jankowska2;uczen123;Izabela;Jankowska
STUDENT;wkubiak;uczen123;Wojciech;Kubiak
STUDENT;borkowska2;uczen123;Wanda;Borkowska
STUDENT;pzakrzewski;uczen123;Przemysław;Zakrzewski
STUDENT;kwieczorek;uczen123;Kornelia;Wieczorek
STUDENT;sgrabowski;uczen123;Stanisław;Grabowski
STUDENT;krajewska;uczen123;Laura;Krajewska
STUDENT;mchojnacki;uczen123;Mikołaj;Chojnacki
STUDENT;dkowalewska;uczen123;Daria;Kowalewska
STUDENT;kmroz;uczen123;Kazimierz;Mróz
STUDENT;mkozak2;uczen123;Amelia;Kozak
STUDENT;bbrzezinski;uczen123;Bartosz;Brzeziński
STUDENT;jlisowska;uczen123;Joanna;Lisowska
STUDENT;szielinski;uczen123;Sławomir;Zieliński
STUDENT;dwilk;uczen123;Dominika;Wilk
STUDENT;mzalewski;uczen123;Marcel;Zalewski
STUDENT;mkucharska;uczen123;Marlena;Kucharska
STUDENT;kkrawczyk2;uczen123;Kacper;Krawczyk
STUDENT;rwolski;uczen123;Rafał;Wolski
STUDENT;pczarnecki;uczen123;Piotr;Czarnecki
STUDENT;jzakrzewska;uczen123;Justyna;Zakrzewska
STUDENT;dnowak;uczen123;Daniel;Nowak
STUDENT;ksocha2;uczen123;Iga;Socha
STUDENT;rpietrzak;uczen123;Radosław;Pietrzak
STUDENT;zmakowska;uczen123;Zofia;Makowska
STUDENT;mwisniewski;uczen123;Maciej;Wiśniewski
STUDENT;pbednarek2;uczen123;Patrycja;Bednarek
STUDENT;ssocha2;uczen123;Sylwester;Socha
STUDENT;awitkowska;uczen123;Aleksandra;Witkowska
STUDENT;jstepien;uczen123;Jerzy;Stępień
STUDENT;wjaworska;uczen123;Weronika;Jaworska
STUDENT;dbaran;uczen123;Dominik;Baran
STUDENT;ksokolowska2;uczen123;Kinga;Sokołowska
STUDENT;mbaranowski2;uczen123;Mirosław;Baranowski
STUDENT;npiatek2;uczen123;Nikola;Piątek
STUDENT;abaran2;uczen123;Adrian;Baran
STUDENT;kpietrzak2;uczen123;Krystyna;Pietrzak
STUDENT;pstepien2;uczen123;Paweł;Stępień
STUDENT;jmakowska2;uczen123;Jessica;Makowska
STUDENT;swisniewski2;uczen123;Sebastian;Wiśniewski
STUDENT;pnowakowska2;uczen123;Pola;Nowakowska
STUDENT;tsocha2;uczen123;Tymoteusz;Socha
STUDENT;mbednarek2;uczen123;Milena;Bednarek
STUDENT;esikora;uczen123;Ewa;Sikora
STUDENT;kszymanski;uczen123;Kamil;Szymański
STUDENT;wjankowska;uczen123;Weronika;Jankowska
STUDENT;gkoziol;uczen123;Grażyna;Kozioł
STUDENT;pkaczmarczyk;uczen123;Patryk;Kaczmarczyk
STUDENT;burbanska;uczen123;Bogusława;Urbańska
STUDENT;pwozniak;uczen123;Andrzej;Woźniak
STUDENT;mprzybylska;uczen123;Marcelina;Przybylska
STUDENT;wwalczak2;uczen123;Waldemar;Walczak
STUDENT;jkalinowska;uczen123;Jagoda;Kalinowska
STUDENT;dchmielewska;uczen123;Diana;Chmielewska
STUDENT;awroblewski;uczen123;Arkadiusz;Wróblewski
STUDENT;ksawicka2;uczen123;Sylwia;Sawicka
STUDENT;mmichalak;uczen123;Marcin;Michalak
STUDENT;jnowak;uczen123;Justyna;Nowak
STUDENT;lwojcik;uczen123;Leon;Wójcik
STUDENT;kkowalczyk2;uczen123;Katarzyna;Kowalczyk
STUDENT;bmazurek;uczen123;Borys;Mazurek
STUDENT;kwasilewska;uczen123;Karina;Wasilewska
STUDENT;rkrajewski;uczen123;Roman;Krajewski
STUDENT;mchojnacka;uczen123;Małgorzata;Chojnacka
STUDENT;dkowalewski;uczen123;Igor;Kowalewski
STUDENT;amroz;uczen123;Agata;Mróz
STUDENT;bbrzezinska2;uczen123;Bożena;Brzezińska
STUDENT;mlisowski;uczen123;Marian;Lisowski
STUDENT;szielinska;uczen123;Sandra;Zielińska
STUDENT;dwilk2;uczen123;Ireneusz;Wilk
STUDENT;mzalewska;uczen123;Monika;Zalewska
STUDENT;mkucharski;uczen123;Czesław;Kucharski
TEACHER;test;test;test;test
